forecast_horizon,step_index,forecast_timestamp,power_kw
2h,1,2021-01-30 23:30:00,0.0
2h,2,2021-01-30 23:45:00,0.0
2h,3,2021-01-31 00:00:00,85.2173
2h,4,2021-01-31 00:15:00,41.0367
2h,5,2021-01-31 00:30:00,22.536
2h,6,2021-01-31 00:45:00,47.3418
2h,7,2021-01-31 01:00:00,36.788
2h,8,2021-01-31 01:15:00,17.0413
4h,1,2021-01-30 23:30:00,0.0
4h,2,2021-01-30 23:45:00,0.0
4h,3,2021-01-31 00:00:00,85.2173
4h,4,2021-01-31 00:15:00,41.0367
4h,5,2021-01-31 00:30:00,22.536
4h,6,2021-01-31 00:45:00,47.3418
4h,7,2021-01-31 01:00:00,36.788
4h,8,2021-01-31 01:15:00,17.0413
4h,9,2021-01-31 01:30:00,10.064
4h,10,2021-01-31 01:45:00,0.0
4h,11,2021-01-31 02:00:00,0.0
4h,12,2021-01-31 02:15:00,0.0
4h,13,2021-01-31 02:30:00,46.3383
4h,14,2021-01-31 02:45:00,46.5947
4h,15,2021-01-31 03:00:00,46.738
4h,16,2021-01-31 03:15:00,47.0233
1d,1,2021-01-30 23:30:00,0.0
1d,2,2021-01-30 23:45:00,0.0
1d,3,2021-01-31 00:00:00,85.2173
1d,4,2021-01-31 00:15:00,41.0367
1d,5,2021-01-31 00:30:00,22.536
1d,6,2021-01-31 00:45:00,47.3418
1d,7,2021-01-31 01:00:00,36.788
1d,8,2021-01-31 01:15:00,17.0413
1d,9,2021-01-31 01:30:00,10.064
1d,10,2021-01-31 01:45:00,0.0
1d,11,2021-01-31 02:00:00,0.0
1d,12,2021-01-31 02:15:00,0.0
1d,13,2021-01-31 02:30:00,46.3383
1d,14,2021-01-31 02:45:00,46.5947
1d,15,2021-01-31 03:00:00,46.738
1d,16,2021-01-31 03:15:00,47.0233
1d,17,2021-01-31 03:30:00,47.1927
1d,18,2021-01-31 03:45:00,47.5347
1d,19,2021-01-31 04:00:00,22.726
1d,20,2021-01-31 04:15:00,0.0
1d,21,2021-01-31 04:30:00,0.0
1d,22,2021-01-31 04:45:00,0.0
1d,23,2021-01-31 05:00:00,0.0
1d,24,2021-01-31 05:15:00,40.3671
1d,25,2021-01-31 05:30:00,40.4853
1d,26,2021-01-31 05:45:00,40.7667
1d,27,2021-01-31 06:00:00,40.928
1d,28,2021-01-31 06:15:00,32.1836
1d,29,2021-01-31 06:30:00,62.699
1d,30,2021-01-31 06:45:00,63.0873
1d,31,2021-01-31 07:00:00,0.0
1d,32,2021-01-31 07:15:00,0.0
1d,33,2021-01-31 07:30:00,0.0
1d,34,2021-01-31 07:45:00,0.0
1d,35,2021-01-31 08:00:00,0.0
1d,36,2021-01-31 08:15:00,0.0
1d,37,2021-01-31 08:30:00,0.0
1d,38,2021-01-31 08:45:00,0.0
1d,39,2021-01-31 09:00:00,0.0
1d,40,2021-01-31 09:15:00,0.0
1d,41,2021-01-31 09:30:00,0.0
1d,42,2021-01-31 09:45:00,0.0
1d,43,2021-01-31 10:00:00,0.0
1d,44,2021-01-31 10:15:00,0.0
1d,45,2021-01-31 10:30:00,0.0
1d,46,2021-01-31 10:45:00,0.0
1d,47,2021-01-31 11:00:00,0.0
1d,48,2021-01-31 11:15:00,0.0
1d,49,2021-01-31 11:30:00,63.0307
1d,50,2021-01-31 11:45:00,52.3975
1d,51,2021-01-31 12:00:00,23.124
1d,52,2021-01-31 12:15:00,22.948
1d,53,2021-01-31 12:30:00,15.7543
1d,54,2021-01-31 12:45:00,54.9987
1d,55,2021-01-31 13:00:00,88.7747
1d,56,2021-01-31 13:15:00,40.912
1d,57,2021-01-31 13:30:00,38.3427
1d,58,2021-01-31 13:45:00,9.85
1d,59,2021-01-31 14:00:00,16.5329
1d,60,2021-01-31 14:15:00,25.694
1d,61,2021-01-31 14:30:00,26.0567
